,Variable,Year,Month,Modelled,Observed,Yr-Mon,Mod_SE,Obs_SE,Difference_abs,Perc_Difference_abs
613,WetDep_NH4_mgm2,2014,8,2.5552523437729753,2.894150421875,2014-08-01,1.1815110793902779,1.4214069753652272,0.33889807810202477,1.42262431627976
614,WetDep_NH4_mgm2,2014,9,2.703098716820919,2.5080920070422534,2014-09-01,1.1815110793902779,1.4214069753652272,0.1950067097786654,1.775240628829227
615,WetDep_NH4_mgm2,2014,10,3.1159112312180426,3.5512045,2014-10-01,1.1815110793902779,1.4214069753652272,0.4352932687819573,1.976211080449692
616,WetDep_NH4_mgm2,2014,11,1.802968661043165,1.994661380952381,2014-11-01,1.1815110793902779,1.4214069753652272,0.191692719909216,0.6966480554491077
617,WetDep_NH4_mgm2,2014,12,3.362902861610358,3.513487928176796,2014-12-01,1.1815110793902779,1.4214069753652272,0.1505850665664381,2.3181245635853207
618,WetDep_NH4_mgm2,2015,1,1.3202077860405317,1.376917442477876,2015-01-01,1.1815110793902779,1.4214069753652272,0.05670965643734438,0.27725268682283666
619,WetDep_NH4_mgm2,2015,2,1.8097757487361048,2.078023393939394,2015-02-01,1.1815110793902779,1.4214069753652272,0.26824764520328914,0.66155426583104
620,WetDep_NH4_mgm2,2015,3,2.7561151031901936,3.0826972,2015-03-01,1.1815110793902779,1.4214069753652272,0.32658209680980654,1.6376214682793044
621,WetDep_NH4_mgm2,2015,4,5.32237606268402,6.184813260115607,2015-04-01,1.1815110793902779,1.4214069753652272,0.8624371974315874,4.16033617912933
622,WetDep_NH4_mgm2,2015,5,3.945542394130449,4.302331708029197,2015-05-01,1.1815110793902779,1.4214069753652272,0.3567893138987479,2.855113936327151
623,WetDep_NH4_mgm2,2015,6,3.26704353552617,3.713756270676692,2015-06-01,1.1815110793902779,1.4214069753652272,0.44671273515052157,2.130310513669277
624,WetDep_NH4_mgm2,2015,7,2.802515352964634,3.162246130081301,2015-07-01,1.1815110793902779,1.4214069753652272,0.3597307771166669,1.6741553863595888
625,WetDep_NH4_mgm2,2015,8,2.2589366217278717,2.3936475661764707,2015-08-01,1.1815110793902779,1.4214069753652272,0.134710944448599,1.1993019497530741
626,WetDep_NH4_mgm2,2015,9,1.8583446823411491,1.8438002066115704,2015-09-01,1.1815110793902779,1.4214069753652272,0.014544475729578732,0.8661712582545343
627,WetDep_NH4_mgm2,2015,10,2.0960184337202628,2.363857982142857,2015-10-01,1.1815110793902779,1.4214069753652272,0.2678395484225944,0.9682335134573237
628,WetDep_NH4_mgm2,2015,11,2.10421767273125,2.630224164285714,2015-11-01,1.1815110793902779,1.4214069753652272,0.526006491554464,0.8542404491906295
629,WetDep_NH4_mgm2,2015,12,3.44816004721923,3.6223157738095235,2015-12-01,1.1815110793902779,1.4214069753652272,0.17415572659029355,2.3976531901692675
630,WetDep_NH4_mgm2,2016,1,1.474500490493339,1.6367764451612903,2016-01-01,1.1815110793902779,1.4214069753652272,0.1622759546679513,0.36444562397128255
